accR,accP,gyroR,gyroP,gyroY,cfroll,cfpitch
-0.005574, -0.007001,0.024647, -0.002531, 0.014388, -0.000121, -0.000043
-0.005221, -0.007798,0.022116, -0.004929, 0.017586, -0.000243, -0.000112
-0.008230, -0.003575,0.025180, -0.004796, 0.014655, -0.000421, -0.000082
-0.009652, -0.002243,0.019318, -0.006928, 0.013323, -0.000633, -0.000050
-0.006988, -0.011509,0.023448, -0.009726, 0.015454, -0.000798, -0.000187
-0.002499, -0.010399,0.022515, -0.006928, 0.017719, -0.000859, -0.000303
-0.008219, -0.012328,0.023048, -0.010125, 0.015588, -0.001046, -0.000453
-0.002912, -0.016593,0.024380, -0.005862, 0.016920, -0.001107, -0.000680
-0.011391, -0.012482,0.020250, -0.003730, 0.016254, -0.001327, -0.000837
-0.009082, -0.005531,0.022382, -0.005995, 0.016920, -0.001506, -0.000843
-0.005221, -0.013560,0.023048, -0.006661, 0.017186, -0.001606, -0.001007
-0.009916, -0.004857,0.022116, -0.007727, 0.014255, -0.001802, -0.000998
-0.010182, -0.008145,0.019718, -0.005995, 0.016920, -0.001994, -0.001063
-0.012872, -0.011991,0.023315, -0.006528, 0.017186, -0.002237, -0.001190
-0.004038, -0.009219,0.021982, -0.007994, 0.015454, -0.002304, -0.001265
-0.010778, -0.004135,0.019318, -0.005729, 0.018119, -0.002496, -0.001246
-0.013410, -0.004132,0.023848, -0.006395, 0.015588, -0.002739, -0.001211
-0.002300, -0.013324,0.022116, -0.008660, 0.015987, -0.002764, -0.001366
-0.008519, -0.009189,0.022116, -0.008127, 0.016653, -0.002911, -0.001436
-0.007116, -0.010097,0.020650, -0.006661, 0.014255, -0.003022, -0.001528
-0.013089, -0.004883,0.017986, -0.006661, 0.015721, -0.003249, -0.001525
-0.012154, -0.008259,0.024380, -0.001332, 0.015588, -0.003432, -0.001564
-0.007083, -0.004722,0.023048, -0.007194, 0.014655, -0.003534, -0.001537
-0.011425, -0.011699,0.016254, -0.006795, 0.016254, -0.003718, -0.001676
-0.011966, -0.006051,0.017453, -0.007594, 0.016254, -0.003913, -0.001695
-0.008977, -0.012688,0.020117, -0.006661, 0.014788, -0.004040, -0.001836
-0.005222, -0.009699,0.021716, -0.009326, 0.017453, -0.004100, -0.001909
-0.003235, -0.012334,0.020250, -0.005729, 0.014788, -0.004106, -0.002038
-0.004170, -0.013585,0.023448, -0.009859, 0.014522, -0.004145, -0.002177
-0.005009, -0.004129,0.021450, -0.007327, 0.017053, -0.004191, -0.002132
-0.007658, -0.012198,0.023048, -0.009859, 0.015987, -0.004299, -0.002243
-0.008826, -0.006858,0.024247, -0.005995, 0.019051, -0.004413, -0.002240
-0.007131, -0.005094,0.024380, -0.005862, 0.017719, -0.004491, -0.002201
-0.011045, -0.009092,0.022382, -0.006528, 0.017719, -0.004647, -0.002252
-0.010310, -0.007951,0.020384, -0.007727, 0.014255, -0.004791, -0.002286
-0.009402, -0.007779,0.022782, -0.005329, 0.015987, -0.004904, -0.002306
-0.002716, -0.011067,0.024247, -0.007860, 0.014921, -0.004891, -0.002386
-0.007093, 0.000608,0.021050, -0.009592, 0.019584, -0.004973, -0.002244
-0.010750, -0.012553,0.022515, -0.005729, 0.014255, -0.005111, -0.002362
-0.004190, -0.013314,0.020117, -0.007061, 0.015721, -0.005120, -0.002502
-0.010740, -0.007160,0.022649, -0.003464, 0.017186, -0.005246, -0.002506
-0.013978, -0.003917,0.021583, -0.007860, 0.017186, -0.005451, -0.002450
-0.007500, -0.008108,0.019718, -0.006928, 0.015321, -0.005520, -0.002486
-0.011824, -0.008667,0.020517, -0.007594, 0.013989, -0.005675, -0.002529
-0.008964, -0.013076,0.021316, -0.007594, 0.016520, -0.005771, -0.002656
-0.011335, -0.011607,0.021849, -0.008527, 0.016387, -0.005916, -0.002750
-0.011933, -0.007187,0.017852, -0.008660, 0.014921, -0.006070, -0.002769
-0.014192, -0.007569,0.020250, -0.006928, 0.016387, -0.006260, -0.002785
-0.000205, -0.006683,0.021849, -0.009859, 0.017852, -0.006177, -0.002777
-0.004186, -0.007966,0.021316, -0.006395, 0.013456, -0.006162, -0.002798
-0.008765, -0.013281,0.018252, -0.004130, 0.017719, -0.006231, -0.002936
-0.008473, -0.002576,0.019584, -0.004929, 0.014655, -0.006295, -0.002852
-0.003440, -0.010591,0.020917, -0.008260, 0.017586, -0.006270, -0.002925
-0.007333, -0.011406,0.023981, -0.005729, 0.017053, -0.006314, -0.003000
-0.013843, -0.008347,0.021716, -0.007327, 0.015854, -0.006493, -0.003022
-0.001768, -0.007413,0.023714, -0.005995, 0.015854, -0.006422, -0.003017
-0.007838, -0.013107,0.022116, -0.009193, 0.016254, -0.006486, -0.003132
-0.006356, -0.006627,0.020517, -0.005729, 0.016120, -0.006506, -0.003122
-0.010667, -0.014017,0.025979, -0.005995, 0.017453, -0.006613, -0.003238
-0.009892, -0.011709,0.022382, -0.004663, 0.014255, -0.006697, -0.003319
-0.005050, -0.009555,0.018385, -0.009326, 0.013989, -0.006701, -0.003372
-0.018238, -0.008950,0.023048, -0.005462, 0.018119, -0.006953, -0.003393
-0.007867, -0.008546,0.023181, -0.007061, 0.015987, -0.006999, -0.003405
