accR:,accP:,gyroR:,gyroP:,gyroY:,cfroll:,cfpitch:
-0.012945, -0.007848,0.030109, -0.004796, 0.008527, -0.000278, -0.000039
-0.006726, -0.014930,0.033307, -0.004263, 0.005462, -0.000423, -0.000206
-0.007723, -0.016733,0.031175, -0.004263, 0.009059, -0.000586, -0.000415
-0.007688, -0.015105,0.031175, -0.005196, 0.007727, -0.000748, -0.000586
-0.008439, -0.008641,0.029310, -0.005995, 0.008660, -0.000926, -0.000632
-0.010881, -0.014104,0.030775, -0.003997, 0.009859, -0.001141, -0.000781
-0.014922, -0.013914,0.030376, -0.004396, 0.009326, -0.001433, -0.000925
-0.012830, -0.010399,0.028511, -0.009859, 0.007594, -0.001700, -0.001002
-0.010910, -0.011112,0.031042, -0.005596, 0.007194, -0.001906, -0.001083
-0.007454, -0.010676,0.030376, -0.003064, 0.007061, -0.002029, -0.001156
-0.010910, -0.009967,0.029310, -0.005729, 0.007860, -0.002229, -0.001217
-0.010515, -0.011862,0.030509, -0.005995, 0.005862, -0.002418, -0.001310
-0.010834, -0.010299,0.028910, -0.003197, 0.008393, -0.002599, -0.001377
-0.015447, -0.017126,0.031974, -0.005729, 0.005196, -0.002879, -0.001567
-0.003286, -0.013344,0.031175, -0.003864, 0.007994, -0.002902, -0.001680
-0.010008, -0.012104,0.029710, -0.003331, 0.006795, -0.003057, -0.001772
-0.013930, -0.009513,0.032374, -0.004396, 0.005462, -0.003292, -0.001800
-0.014289, -0.012928,0.029843, -0.005729, 0.007594, -0.003534, -0.001905
-0.009373, -0.011448,0.032108, -0.003464, 0.006528, -0.003665, -0.001970
-0.009398, -0.010674,0.031841, -0.007327, 0.008393, -0.003808, -0.002020
-0.004944, -0.010422,0.029843, -0.002931, 0.003730, -0.003842, -0.002071
-0.010430, -0.009821,0.033573, -0.001732, 0.009592, -0.003981, -0.002094
-0.006581, -0.012889,0.033440, -0.003331, 0.006795, -0.004046, -0.002179
-0.005800, -0.002900,0.030909, -0.002132, 0.006395, -0.004089, -0.002072
-0.006526, -0.011302,0.030376, -0.008527, 0.008793, -0.004171, -0.002138
-0.008743, -0.010109,0.032374, -0.004796, 0.004530, -0.004282, -0.002170
-0.006922, -0.017337,0.031442, -0.007727, 0.007994, -0.004365, -0.002350
-0.009034, -0.013416,0.032108, -0.006661, 0.012124, -0.004484, -0.002446
-0.012068, -0.006135,0.029710, -0.007594, 0.008393, -0.004666, -0.002403
-0.010687, -0.008564,0.029576, -0.005462, 0.010258, -0.004807, -0.002410
-0.010664, -0.012441,0.030376, -0.004929, 0.007860, -0.004944, -0.002492
-0.009267, -0.010552,0.026512, -0.004263, 0.006795, -0.005047, -0.002549
-0.005797, -0.005999,0.031442, -0.002265, 0.008793, -0.005071, -0.002495
-0.013813, -0.010916,0.029443, -0.009992, 0.006395, -0.005285, -0.002548
-0.012224, -0.008261,0.032641, -0.004929, 0.009726, -0.005443, -0.002534
-0.007873, -0.013391,0.027578, -0.004263, 0.007194, -0.005508, -0.002643
-0.007698, -0.018569,0.029576, -0.005196, 0.005063, -0.005573, -0.002846
-0.012472, -0.010720,0.029843, -0.007594, 0.008260, -0.005740, -0.002886
-0.013937, -0.014946,0.026912, -0.005596, 0.008527, -0.005926, -0.003022
-0.014954, -0.009355,0.031442, -0.004130, 0.007860, -0.006123, -0.003025
-0.012201, -0.009386,0.031974, -0.003730, 0.009326, -0.006259, -0.003027
-0.013880, -0.012526,0.032374, -0.006661, 0.006395, -0.006438, -0.003090
-0.011260, -0.008378,0.033840, -0.004796, 0.007194, -0.006553, -0.003063
-0.012893, -0.013504,0.032374, -0.005462, 0.006528, -0.006701, -0.003145
-0.009986, -0.005196,0.030509, -0.003464, 0.004263, -0.006780, -0.003067
-0.010937, -0.008101,0.032507, -0.002398, 0.009059, -0.006873, -0.003040
-0.013843, -0.017826,0.034506, -0.003997, 0.006928, -0.007028, -0.003201
-0.012273, -0.009441,0.031841, -0.004663, 0.009859, -0.007151, -0.003201
-0.007907, -0.013449,0.032108, -0.004263, 0.003597, -0.007183, -0.003280
-0.011781, -0.020836,0.032241, -0.003197, 0.008660, -0.007288, -0.003504
-0.007791, -0.007586,0.033440, -0.003464, 0.005729, -0.007311, -0.003455
-0.014438, -0.008473,0.029976, -0.002665, 0.008793, -0.007464, -0.003438
-0.014258, -0.006790,0.030509, -0.004263, 0.004663, -0.007617, -0.003385
-0.011397, -0.020011,0.029576, -0.001599, 0.008926, -0.007699, -0.003602
-0.013182, -0.011501,0.028511, -0.004130, 0.007194, -0.007824, -0.003648
-0.003724, -0.010428,0.032374, -0.004396, 0.009859, -0.007760, -0.003657
-0.012317, -0.006768,0.031175, -0.003997, 0.009592, -0.007866, -0.003597
-0.005190, -0.011862,0.030642, -0.003331, 0.007727, -0.007826, -0.003642
-0.012820, -0.012206,0.027978, -0.006528, 0.008260, -0.007951, -0.003704
-0.013722, -0.016235,0.029043, -0.007194, 0.007727, -0.008095, -0.003840
-0.011872, -0.007892,0.034106, -0.006661, 0.007727, -0.008197, -0.003788
-0.011351, -0.014594,0.028910, -0.006661, 0.010658, -0.008286, -0.003890
-0.006154, -0.017850,0.027844, -0.003464, 0.007327, -0.008257, -0.004060
-0.013452, -0.012506,0.029576, -0.003197, 0.009459, -0.008373, -0.004113
-0.009413, -0.010355,0.030775, -0.003730, 0.009193, -0.008409, -0.004118
